D1,,,,parameters of the mean fragility,,,D2,,,,parameters of the mean fragility,,,D3,,,,parameters of the mean fragility,,,D4,,,,parameters of the mean fragility,,,D5,,,,parameters of the mean fragility,,,D6,,,,parameters of the mean fragility,,
flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty,flow depth [m],mean-1sigma fragility,mean fragility,mean+1sigma fragility,median,logarithmic standard deviation,epistemic uncertainty
0.48,0.865739883,0.873658196,0.881576509,,,,0.48,0.577667097,0.590337061,0.603007025,,,,0.48,0.132665632,0.139989259,0.147312886,,,,0.48,0.014179567,0.015616693,0.01705382,,,,0.48,0.001927607,0.002257391,0.002587174,,,,0.48,9.5378E-05,0.000131216,0.000167053,,,
0.49,0.868868572,0.876619765,0.884370958,,,,0.49,0.584339704,0.596867891,0.609396078,,,,0.49,0.136993226,0.144432096,0.151870966,,,,0.49,0.014970939,0.016468015,0.017965091,,,,0.49,0.00205969,0.002407912,0.002756134,,,,0.49,0.000103514,0.000141964,0.000180414,,,
0.5,0.871894711,0.879485897,0.887077084,,,,0.5,0.590875538,0.603263274,0.615651009,,,,0.5,0.141342892,0.14889396,0.156445029,,,,0.5,0.015785624,0.017343362,0.0189011,,,,0.5,0.002197362,0.00256454,0.002931717,,,,0.5,0.000112131,0.000153314,0.000194496,,,
0.51,0.874822797,0.882260761,0.889698724,,,,0.51,0.597278168,0.609526884,0.6217756,,,,0.51,0.145713057,0.153373306,0.161033554,,,,0.51,0.016623586,0.018242663,0.01986174,,,,0.51,0.002340699,0.002727345,0.003113991,,,,0.51,0.000121244,0.000165282,0.000209319,,,
0.52,0.877657074,0.884948282,0.89223949,,,,0.52,0.603551045,0.61566227,0.627773494,,,,0.52,0.150102199,0.157868639,0.165635079,,,,0.52,0.017484777,0.019165834,0.020846892,,,,0.52,0.002489775,0.002896399,0.003303023,,,,0.52,0.000130869,0.000177885,0.000224901,,,
0.53,0.880401551,0.887552169,0.894702788,,,,0.53,0.609697509,0.621672853,0.633648196,,,,0.53,0.154508848,0.162378521,0.170248195,,,,0.53,0.01836914,0.020112785,0.021856429,,,,0.53,0.002644663,0.003071768,0.003498874,,,,0.53,0.000141021,0.000191141,0.000241261,,,
0.54,0.883060017,0.890075923,0.897091829,,,,0.54,0.615720794,0.62756194,0.639403086,,,,0.54,0.15893158,0.166901563,0.174871545,,,,0.54,0.019276607,0.021083412,0.022890217,,,,0.54,0.002805429,0.003253517,0.003701604,,,,0.54,0.000151714,0.000205067,0.000258419,,,
0.55,0.88563606,0.892522852,0.899409645,,,,0.55,0.621624031,0.633332725,0.645041419,,,,0.55,0.163369023,0.171436424,0.179503825,,,,0.55,0.0202071,0.022077606,0.023948111,,,,0.55,0.002972141,0.003441704,0.003911268,,,,0.55,0.000162965,0.000219679,0.000276393,,,
0.56,0.888133076,0.894896089,0.901659102,,,,0.56,0.627410251,0.638988293,0.650566334,,,,0.56,0.167819847,0.175981812,0.184143777,,,,0.56,0.021160534,0.023095247,0.025029959,,,,0.56,0.00314486,0.003636389,0.004127918,,,,0.56,0.000174788,0.000234995,0.000295201,,,
0.57,0.890554284,0.897198599,0.903842914,,,,0.57,0.633082393,0.644531627,0.655980861,,,,0.57,0.172282769,0.180536481,0.188790193,,,,0.57,0.022136814,0.024136207,0.026135601,,,,0.57,0.003323648,0.003837627,0.004351605,,,,0.57,0.000187199,0.000251031,0.000314862,,,
